UniversityCode,TotalFiles,FilesOverLimit,MaxCharacterCount,Flagged,ProblemFiles
adelphi,3,0,21258,No,None
albany,2,0,5573,No,None
alliant,1,0,16418,No,None
american,2,0,5334,No,None
andrews,3,0,10067,No,None
apu,2,0,33213,No,None
arizona,2,0,4895,No,None
astate,2,0,5382,No,None
asu,2,0,6915,No,None
auburn,1,0,21904,No,None
augusta,2,0,13685,No,None
aurora,2,0,7134,No,None
bakeru,2,0,20812,No,None
barry,2,0,38697,No,None
baylor,1,0,6111,No,None
bc,2,0,13648,No,None
bellarmine,2,0,5765,No,None
belmont,3,0,8847,No,None
ben,1,0,11312,No,None
berkeley,2,0,5419,No,None
bethel,1,0,5814,No,None
bgsu,1,0,18382,No,None
bingham,1,0,3720,No,None
biola,2,0,16465,No,None
boisestate,1,0,4749,No,None
brandeis,2,0,30516,No,None
bridgeport,2,0,9731,No,None
brown,2,0,11918,No,None
bsu,1,0,15742,No,None
bu,2,0,3149,No,None
buffalo,1,0,4043,No,None
byu,1,1,187534,YES,BrighamYoungUniversity--Provo_7.txt (187534 chars)
caltech,2,0,9383,No,None
camden.rutgers,2,0,11599,No,None
campbell,1,0,6411,No,None
case,1,0,4536,No,None
catholic,1,0,4880,No,None
cau,1,0,8314,No,None
ccny.cuny,1,0,14325,No,None
chapman,1,0,13583,No,None
charlotte,3,0,5331,No,None
chatham,1,0,9846,No,None
clarke,2,0,7482,No,None
clarkson,1,0,4692,No,None
clarku,3,0,15344,No,None
clemson,1,0,11437,No,None
cmich,1,0,4733,No,None
cmu,2,0,5615,No,None
colorado,1,0,4733,No,None
colostate,1,0,16090,No,None
columbia,2,0,10343,No,None
cornell,2,0,5165,No,None
creighton,1,0,13483,No,None
css,1,0,34839,No,None
csuohio,1,0,5252,No,None
cuw,3,0,7513,No,None
daemen,1,0,3740,No,None
dartmouth,2,0,4786,No,None
dbu,1,0,11880,No,None
depaul,1,0,6486,No,None
desu,1,0,18180,No,None
drake,2,0,3773,No,None
drexel,2,0,12496,No,None
du,1,0,8015,No,None
duke,1,0,4260,No,None
duq,1,0,3122,No,None
ecu,1,0,7324,No,None
edgewood,3,0,6017,No,None
elon,2,0,4418,No,None
emich,2,0,2530,No,None
emory,2,0,8238,No,None
esf,1,0,11591,No,None
etsu,1,0,5176,No,None
famu,1,0,5753,No,None
ferris,1,0,7039,No,None
findlay,2,0,4403,No,None
fit,2,0,6811,No,None
fiu,1,0,6590,No,None
fordham,2,0,3542,No,None
fresnostate,2,0,3964,No,None
fsu,2,0,5805,No,None
gallaudet,2,0,10633,No,None
gannon,1,0,4722,No,None
gardner-webb,2,0,6702,No,None
gatech,3,0,6564,No,None
gcu,1,0,14482,No,None
georgefox,2,0,7411,No,None
georgetown,3,0,10669,No,None
georgiasouthern,1,0,10319,No,None
gmu,1,0,28156,No,None
gonzaga,2,0,10231,No,None
gsu,1,0,18271,No,None
gwu ,2,0,5875,No,None
harding,1,0,6896,No,None
hartford,2,0,14121,No,None
harvard,1,0,15058,No,None
hilo.hawaii,2,0,6552,No,None
hofstra,1,0,5645,No,None
howard,1,0,2613,No,None
husson,2,0,5255,No,None
iastate,2,0,5703,No,None
iit,2,0,43861,No,None
immaculata,1,0,3843,No,None
indiana,1,0,5432,No,None
indstat,1,0,31930,No,None
isu,1,0,4943,No,None
iup,1,0,8566,No,None
iupui,1,0,3530,No,None
jefferson,1,0,13649,No,None
jhu,1,0,3186,No,None
jsums,1,0,9015,No,None
k-state,2,0,3346,No,None
keiseruniveristy,1,0,18711,No,None
kennesaw,2,0,4917,No,None
kent,1,0,3574,No,None
ku,1,0,13604,No,None
latech,1,0,7506,No,None
lehigh,1,0,10923,No,None
lesley,2,0,11681,No,None
liberty,1,0,13098,No,None
