W4.Num,Code,UniversityLink1,UniversityLink2,UniversityLink3,UniversityLink4,UniversityLink5,UniversityLink6
1,missouri,UniversityofMissouri_1.txt,UniversityofMissouri_2.txt,,,,
2,wright,WrightStateUniversity_2.txt,WrightStateUniversity_1.txt,,,,
3,uncg,UniversityofNorthCarolina--Greensboro_1.txt,,,,,
4,clarkson,ClarksonUniversity_1.txt,,,,,
5,ucsc,UniversityofCalifornia--SantaCruz_2.txt,UniversityofCalifornia--SantaCruz_3.txt,UniversityofCalifornia--SantaCruz_1.txt,,,
6,uu,UnionUniversity_1.txt,,,,,
7,usf,UniversityofSouthFlorida_1.txt,,,,,
8,ucsd,UniversityofCalifornia--SanDiego_2.txt,UniversityofCalifornia--SanDiego_1.txt,,,,
9,georgetown,GeorgetownUniversity_3.txt,GeorgetownUniversity_2.txt,GeorgetownUniversity_1.txt,,,
10,odu,OldDominionUniversity_1.txt,OldDominionUniversity_2.txt,OldDominionUniversity_3.txt,,,
11,utdallas,UniversityofTexasatDallas_1.txt,UniversityofTexasatDallas_2.txt,,,,
12,vt,VirginiaTech_1.txt,VirginiaTech_2.txt,,,,
13,tcu,TexasChristianUniversity_1.txt,,,,,
14,sdstate,SouthDakotaStateUniversity_7.txt,,,,,
15,brown,BrownUniversity_2.txt,BrownUniversity_1.txt,,,,
16,cornell,CornellUniversity_1.txt,CornellUniversity_2.txt,,,,
17,ccny.cuny,CUNY--CityCollege_1.txt,,,,,
18,berkeley,UniversityofCalifornia--Berkeley_2.txt,UniversityofCalifornia--Berkeley_1.txt,,,,
19,okcu,OklahomaCityUniversity_1.txt,,,,,
20,newschool,TheNewSchool_1.txt,,,,,
21,wayne,WayneStateUniversity_1.txt,,,,,
22,gonzaga,GonzagaUniversity_1.txt,GonzagaUniversity_2.txt,,,,
23,tiu,TrinityInternationalUniversity_1.txt,,,,,
24,umsl,UniversityofMissouri--St.Louis_1.txt,UniversityofMissouri--St.Louis_2.txt,,,,
25,udel,UniversityofDelaware_1.txt,,,,,
26,fordham,FordhamUniversity_1.txt,FordhamUniversity_2.txt,,,,
27,unlv,UniversityofNevada--LasVegas_1.txt,UniversityofNevada--LasVegas_2.txt,,,,
28,utexas,UniversityofTexasatAustin_2.txt,UniversityofTexasatAustin_3.txt,UniversityofTexasatAustin_1.txt,,,
29,sdsu,SanDiegoStateUniversity_1.txt,,,,,
30,unco,UniversityofNorthernColorado_1.txt,UniversityofNorthernColorado_2.txt,,,,
31,northeastern,NortheasternUniversity_1.txt,NortheasternUniversity_2.txt,,,,
32,ucumberlands,UniversityoftheCumberlands_1.txt,,,,,
33,sc,UniversityofSouthCarolina_1.txt,UniversityofSouthCarolina_2.txt,,,,
34,rochester,UniversityofRochester_1.txt,,,,,
35,wvu,WestVirginiaUniversity_1.txt,,,,,
36,uidaho,UniversityofIdaho_1.txt,,,,,
37,georgiasouthern,GeorgiaSouthernUniversity_1.txt,,,,,
38,utoledo,UniversityofToledo_1.txt,UniversityofToledo_2.txt,,,,
39,upenn,UniversityofPennsylvania_2.txt,UniversityofPennsylvania_1.txt,,,,
40,stthomas,UniversityofSt.Thomas(MN)_1.txt,,,,,
41,bethel,BethelUniversity(MN)_1.txt,,,,,
42,cau,ClarkAtlantaUniversity_1.txt,,,,,
43,touro,TouroCollege_1.txt,,,,,
44,ucsb,UniversityofCalifornia--SantaBarbara_1.txt,UniversityofCalifornia--SantaBarbara_2.txt,,,,
45,utulsa,UniversityofTulsa_2.txt,UniversityofTulsa_1.txt,,,,
46,baylor,BaylorUniversity_1.txt,,,,,
47,usu,UtahStateUniversity_1.txt,,,,,
48,ua,UniversityofAlabama_1.txt,,,,,
49,pacific,UniversityofthePacific_1.txt,,,,,
50,uh,UniversityofHouston_1.txt,UniversityofHouston_2.txt,,,,
51,clarku,ClarkUniversity_3.txt,ClarkUniversity_2.txt,ClarkUniversity_1.txt,,,
52,uvm,UniversityofVermont_1.txt,UniversityofVermont_2.txt,,,,
53,virginia,UniversityofVirginia_2.txt,UniversityofVirginia_1.txt,,,,
54,northwestern,NorthwesternUniversity_1.txt,,,,,
55,mst,MissouriUniversityofScienceandTechnology_1.txt,,,,,
56,iup,IndianaUniversityofPennsylvania_1.txt,,,,,
57,wichita,WichitaStateUniversity_4.txt,WichitaStateUniversity_1.txt,WichitaStateUniversity_2.txt,WichitaStateUniversity_3.txt,,
58,myunion,UnionInstituteandUniversity_1.txt,,,,,
59,loyno,LoyolaUniversityNewOrleans_1.txt,,,,,
60,fiu,FloridaInternationalUniversity_1.txt,,,,,
61,uagm,UniversidadAnaG.Mendez--GuraboCampus_7.txt,,,,,
62,lmunet,LincolnMemorialUniversity_1.txt,,,,,
63,liu,LongIslandUniversity_1.txt,,,,,
64,uakron,UniversityofAkron_1.txt,,,,,
65,cuw,ConcordiaUniversityWisconsin_1.txt,ConcordiaUniversityWisconsin_3.txt,ConcordiaUniversityWisconsin_2.txt,,,
66,du,UniversityofDenver_1.txt,,,,,
67,smu,SouthernMethodistUniversity_1.txt,,,,,
68,catholic,TheCatholicUniversityofAmerica_1.txt,,,,,
69,camden.rutgers,RutgersUniversity--Camden_2.txt,RutgersUniversity--Camden_1.txt,,,,
70,lesley,LesleyUniversity_1.txt,LesleyUniversity_2.txt,,,,
